bodyid,name,type,PN_type,tract,glomerulus
1570685033,M_vPNml54_R,M_vPNml54,mPN,mlALT,
761938645,M_vPNml67_R,M_vPNml67,mPN,mlALT,
605050789,M_vPNml84_R,M_vPNml84,mPN,mlALT,
480927537,M_vPNml70_R,M_vPNml70,mPN,mlALT,
541632990,M_vPNml70_R,M_vPNml70,mPN,mlALT,
791298858,M_vPNml84_R,M_vPNml84,mPN,mlALT,
729544359,M_vPNml84_R,M_vPNml84,mPN,mlALT,
5813045696,M_vPNml86_R,M_vPNml86,mPN,mlALT,
698526273,M_vPNml74_R,M_vPNml74,mPN,mlALT,
759922408,M_vPNml74_R,M_vPNml74,mPN,mlALT,
760250511,M_vPNml78_R,M_vPNml78,mPN,mlALT,
5813090752,M_vPNml81_R,M_vPNml81,mPN,mlALT,
1570684665,M_vPNml54_R,M_vPNml54,mPN,mlALT,
1571025824,M_vPNml86_R,M_vPNml86,mPN,mlALT,
5813054911,M_vPNml74_R,M_vPNml74,mPN,mlALT,
760264077,M_vPNml74_R,M_vPNml74,mPN,mlALT,
1819326555,M_vPNml89_R,M_vPNml89,mPN,mlALT,
729219639,M_vPNml74_R,M_vPNml74,mPN,mlALT,
610274029,M_vPNml50_R,M_vPNml50,mPN,mlALT,
610274046,M_vPNml50_R,M_vPNml50,mPN,mlALT,
1415825344,M_vPNml63_R,M_vPNml63,mPN,mlALT,
637462647,M_vPNml80_R,M_vPNml80,mPN,mlALT,
792616185,M_vPNml59_R,M_vPNml59,mPN,mlALT,
5813034081,M_vPNml58_R,M_vPNml58,mPN,mlALT,
1694850602,M_vPNml89_R,M_vPNml89,mPN,mlALT,
481268653,M_vPNml89_R,M_vPNml89,mPN,mlALT,
417199910,M_lvPNm36_R,M_lvPNm36,mPN,mALT,
5812995298,M_lvPNm35_R,M_lvPNm35,mPN,mALT,
1887872301,M_adPNm4_R,M_adPNm4,mPN,mALT,
1888213190,M_adPNm4_R,M_adPNm4,mPN,mALT,
5813044177,M_lPNm11A_R,M_lPNm11A,mPN,mALT,
